state,resource,question,source_a_title,source_a_url,source_a_locator,source_b_title,source_b_url,source_b_locator,result,decision
Cape Colony,Cotton Plantation,Could the Mediterranean Western Cape plausibly sustain a full commercial cotton row by 1936 under heavy investment?,1911 Encyclopædia Britannica/Cape Colony,https://en.wikisource.org/wiki/1911_Encyclop%C3%A6dia_Britannica/Cape_Colony,"Agricultural sections emphasize wheat, wine, fruit, and wool; no western Cape cotton sector is described.","Sixteenth Census of the United States: 1940. Agriculture, First Series, State Reports: California",https://www2.census.gov/library/publications/decennial/1940/agriculture/1940-census-agriculture-vol-1-california.pdf,California proves Mediterranean climates can grow irrigated cotton; the absence of a comparable Cape cotton series means climate alone is not enough to justify the row.,Counterfactual checked and rejected.,Cotton remains disabled in Cape Colony.
Cape Colony,Coal Mine,Should the western Cape keep a standalone coal row after the split?,cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,"Primary Industries section: mining was virtually undeveloped in 1836 and the colony's identifiable southwest economy is grain, wine, stock, fishing, and limited coastal timber rather than coal.",South Africa's Coalfields – A 2014 Perspective,https://pure.port.ac.uk/ws/portalfiles/portal/7408362/South_Africa_s_coalfields.pdf,"Molteno Coalfield section: the commercial Cape coal story is the Indwe/Molteno field in the eastern Cape, not the western Cape footprint.",Counterfactual checked and rejected.,Coal remains disabled in Cape Colony.
Cape Colony,Wood,Should the Western Cape keep a managed-forestry row instead of a hard zero?,cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,"Timber was scarce but not absent: the southern coastal mountains had exploitable forests used for shipbuilding and fuel, and local sawmills already served colonial needs.",Trade & Industrial Policy Strategies: South Africa’s Forestry Value Chain,https://www.tips.org.za/policy-briefs/item/download/1951_b81dc50ab22218561eec628aa634d782,"Western Cape afforested area = 43,146 ha in 2017, confirming a real managed plantation belt in the state footprint.",Counterfactual checked; Cape timber is modest but real as managed forestry.,Wood remains enabled in Cape Colony through a small direct managed-forestry row rather than a floor-only exception.
Northern Cape,Gold Fields (discovered),Should Kimberley-style diamonds appear as already discovered in 1836?,"South Africa: Diamonds, gold, and imperialist intervention (1870–1902)",https://www.britannica.com/place/South-Africa/Diamonds-gold-and-imperialist-intervention-1870-1902,"The diamond boom is placed in the post-1867 sequence, not in the 1836 start-date world.",Kimberley,https://www.britannica.com/place/Kimberley-South-Africa,Kimberley’s rise is tied to the 1867–1871 rush chronology.,Counterfactual checked and rejected.,Northern Cape keeps only undiscovered precious-field potential.
Northern Cape,Gold Fields (undiscovered),Should the redesign leave Kimberley at zero if the discovered slot stays disabled?,"South Africa: Diamonds, gold, and imperialist intervention (1870–1902)",https://www.britannica.com/place/South-Africa/Diamonds-gold-and-imperialist-intervention-1870-1902,"The diamond boom is post-1867, so the field belongs in the undiscovered chronology rather than the 1836 start date.",The Empire and the century/Some Aspects of the Mining Industry in South Africa,https://en.wikisource.org/wiki/The_Empire_and_the_century/Some_Aspects_of_the_Mining_Industry_in_South_Africa,"In 1887 diamond output had already reached 3,692,265 carats, confirming a major later precious-field industry.",Counterfactual checked; the field should be absent at start but present as late discovery.,Northern Cape keeps only undiscovered precious-field potential.
Northern Cape,Coal Mine,Could the Northern Cape support a separate commercial coal row by 1936?,resource_upperbound_audit.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_upperbound_audit.md,"Northern Cape is carried publicly by iron, pastoralism, vineyards, and Kimberley diamonds; no direct Northern Cape coal series is provided in the audit note.",South Africa's Coalfields – A 2014 Perspective,https://pure.port.ac.uk/ws/portalfiles/portal/7408362/South_Africa_s_coalfields.pdf,Cape coal discussion is the eastern Indwe/Molteno basin rather than a Northern Cape coalfield.,Counterfactual checked and rejected.,Coal remains disabled in Northern Cape.
Northern Cape,Wood,Does the Northern Cape justify a commercial logging row rather than an arid pastoral/mineral profile?,agriculture and fisheries research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Northern Cape discussion emphasizes sheep, cattle, Orange River vineyards, and west coast fishing rather than a plantation timber belt.",Statistics Report on Commercial Timber Resources and Primary Roundwood Processing in South Africa 2016/2017,https://www.dffe.gov.za/sites/default/files/reports/research/forestry/statisticsreport_commercialtimberresources_primaryroundwoodprocessing2016to2017.pdf,The regional roundwood totals are concentrated in Eastern Cape and Western Cape; Northern Cape is absent from the processing-intake chart.,Counterfactual checked and rejected.,Wood remains disabled in Northern Cape.
Eastern Cape,Vineyard,Does Sarah Baartman viticulture justify a full Eastern Cape vineyard row?,"Census of commercial agriculture, 2007",https://www.statssa.gov.za/publications/Report-11-02-01/Report-11-02-012007.pdf,"The 2007 province table records Eastern Cape wine-grapes at 0 while Western Cape records 2,369,196 metric tons.","Census of commercial agriculture, 2017",https://www.statssa.gov.za/publications/Report-11-02-01/Report-11-02-012017.pdf,"Eastern Cape wine grapes = 4,943 metric tons, versus Western Cape wine grapes = 675,948 metric tons.",Counterfactual checked; viticulture exists but remains too small and too localized for a full state row.,Vineyard remains disabled in Eastern Cape.
Eastern Cape,Coal Mine,Does the eastern Cape need a nonzero coal row after the split?,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,"The regional mining note treats the Oost-Kaap as the first substantial South African coal zone, centered on Molteno/Indwe from the 1860s-1870s.",South Africa's Coalfields – A 2014 Perspective,https://pure.port.ac.uk/ws/portalfiles/portal/7408362/South_Africa_s_coalfields.pdf,"Molteno/Indwe output peaks at about 175,000 tpa between 1900 and 1904 before declining, confirming a real historical coal district.",Counterfactual checked; the field is secondary to the Transvaal but clearly real.,Coal row remains enabled in Eastern Cape.
Eastern Cape,Wood,Should the eastern Cape keep a managed-forestry row instead of zero?,cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,The Cape economy note places exploitable forests in the Tsitsikamma and Outeniqua belt and treats timber as modest but real in the colony's south-eastern footprint.,Trade & Industrial Policy Strategies: South Africa’s Forestry Value Chain,https://www.tips.org.za/policy-briefs/item/download/1951_b81dc50ab22218561eec628aa634d782,"Eastern Cape afforested area = 141,812 ha in 2017, confirming a substantial managed plantation belt in the state footprint.","Counterfactual checked; eastern Cape timber is real managed forestry, not a zero row.",Wood remains enabled in Eastern Cape through a direct managed-forestry row.
